"";"location";"hits";"keyword";"geo";"gprop"
"1";"Hawaii";100;"protect";"US";"web"
"2";"Montana";96;"protect";"US";"web"
"3";"Utah";89;"protect";"US";"web"
"4";"Maryland";86;"protect";"US";"web"
"5";"Nevada";86;"protect";"US";"web"
"6";"New Mexico";85;"protect";"US";"web"
"7";"South Dakota";85;"protect";"US";"web"
"8";"Arkansas";84;"protect";"US";"web"
"9";"New Jersey";84;"protect";"US";"web"
"10";"Kansas";84;"protect";"US";"web"
"11";"Virginia";84;"protect";"US";"web"
"12";"Idaho";81;"protect";"US";"web"
"13";"Rhode Island";81;"protect";"US";"web"
"14";"Connecticut";81;"protect";"US";"web"
"15";"Indiana";79;"protect";"US";"web"
"16";"Arizona";79;"protect";"US";"web"
"17";"Alaska";79;"protect";"US";"web"
"18";"North Carolina";79;"protect";"US";"web"
"19";"Vermont";78;"protect";"US";"web"
"20";"New Hampshire";78;"protect";"US";"web"
"21";"North Dakota";78;"protect";"US";"web"
"22";"Oklahoma";77;"protect";"US";"web"
"23";"Ohio";77;"protect";"US";"web"
"24";"Tennessee";76;"protect";"US";"web"
"25";"Pennsylvania";76;"protect";"US";"web"
"26";"Kentucky";75;"protect";"US";"web"
"27";"Washington";75;"protect";"US";"web"
"28";"South Carolina";75;"protect";"US";"web"
"29";"Oregon";75;"protect";"US";"web"
"30";"West Virginia";74;"protect";"US";"web"
"31";"Florida";74;"protect";"US";"web"
"32";"Alabama";73;"protect";"US";"web"
"33";"Michigan";73;"protect";"US";"web"
"34";"Wisconsin";73;"protect";"US";"web"
"35";"Massachusetts";73;"protect";"US";"web"
"36";"Georgia";73;"protect";"US";"web"
"37";"California";72;"protect";"US";"web"
"38";"Wyoming";72;"protect";"US";"web"
"39";"District of Columbia";72;"protect";"US";"web"
"40";"New York";72;"protect";"US";"web"
"41";"Louisiana";72;"protect";"US";"web"
"42";"Colorado";71;"protect";"US";"web"
"43";"Missouri";71;"protect";"US";"web"
"44";"Iowa";70;"protect";"US";"web"
"45";"Texas";70;"protect";"US";"web"
"46";"Minnesota";68;"protect";"US";"web"
"47";"Maine";67;"protect";"US";"web"
"48";"Delaware";67;"protect";"US";"web"
"49";"Illinois";67;"protect";"US";"web"
"50";"Nebraska";62;"protect";"US";"web"
"51";"Mississippi";61;"protect";"US";"web"
