"";"location";"hits";"keyword";"geo";"gprop"
"1";"Connecticut";100;"psychiatrist";"US";"web"
"2";"Louisiana";98;"psychiatrist";"US";"web"
"3";"Maryland";97;"psychiatrist";"US";"web"
"4";"New Jersey";95;"psychiatrist";"US";"web"
"5";"Pennsylvania";91;"psychiatrist";"US";"web"
"6";"Rhode Island";89;"psychiatrist";"US";"web"
"7";"Alabama";88;"psychiatrist";"US";"web"
"8";"Mississippi";88;"psychiatrist";"US";"web"
"9";"New Mexico";87;"psychiatrist";"US";"web"
"10";"Georgia";86;"psychiatrist";"US";"web"
"11";"Massachusetts";86;"psychiatrist";"US";"web"
"12";"New York";86;"psychiatrist";"US";"web"
"13";"District of Columbia";85;"psychiatrist";"US";"web"
"14";"Tennessee";85;"psychiatrist";"US";"web"
"15";"Maine";85;"psychiatrist";"US";"web"
"16";"Virginia";84;"psychiatrist";"US";"web"
"17";"Missouri";84;"psychiatrist";"US";"web"
"18";"Texas";83;"psychiatrist";"US";"web"
"19";"Florida";82;"psychiatrist";"US";"web"
"20";"Delaware";81;"psychiatrist";"US";"web"
"21";"North Carolina";80;"psychiatrist";"US";"web"
"22";"West Virginia";79;"psychiatrist";"US";"web"
"23";"Arkansas";76;"psychiatrist";"US";"web"
"24";"South Carolina";76;"psychiatrist";"US";"web"
"25";"Oklahoma";75;"psychiatrist";"US";"web"
"26";"Ohio";75;"psychiatrist";"US";"web"
"27";"California";73;"psychiatrist";"US";"web"
"28";"Illinois";73;"psychiatrist";"US";"web"
"29";"Kentucky";72;"psychiatrist";"US";"web"
"30";"Michigan";72;"psychiatrist";"US";"web"
"31";"New Hampshire";71;"psychiatrist";"US";"web"
"32";"Indiana";71;"psychiatrist";"US";"web"
"33";"Kansas";70;"psychiatrist";"US";"web"
"34";"Minnesota";70;"psychiatrist";"US";"web"
"35";"Arizona";69;"psychiatrist";"US";"web"
"36";"Wisconsin";69;"psychiatrist";"US";"web"
"37";"Washington";68;"psychiatrist";"US";"web"
"38";"Hawaii";67;"psychiatrist";"US";"web"
"39";"Oregon";66;"psychiatrist";"US";"web"
"40";"Vermont";66;"psychiatrist";"US";"web"
"41";"Utah";65;"psychiatrist";"US";"web"
"42";"Colorado";63;"psychiatrist";"US";"web"
"43";"Nevada";61;"psychiatrist";"US";"web"
"44";"Iowa";61;"psychiatrist";"US";"web"
"45";"Idaho";60;"psychiatrist";"US";"web"
"46";"Nebraska";59;"psychiatrist";"US";"web"
"47";"Montana";54;"psychiatrist";"US";"web"
"48";"North Dakota";50;"psychiatrist";"US";"web"
"49";"Alaska";44;"psychiatrist";"US";"web"
"50";"South Dakota";44;"psychiatrist";"US";"web"
"51";"Wyoming";28;"psychiatrist";"US";"web"
