"";"location";"hits";"keyword";"geo";"gprop"
"1";"Delaware";100;"quantity";"US";"web"
"2";"South Carolina";94;"quantity";"US";"web"
"3";"Kentucky";89;"quantity";"US";"web"
"4";"Idaho";80;"quantity";"US";"web"
"5";"New Hampshire";80;"quantity";"US";"web"
"6";"Kansas";79;"quantity";"US";"web"
"7";"Oklahoma";79;"quantity";"US";"web"
"8";"Iowa";79;"quantity";"US";"web"
"9";"Wisconsin";77;"quantity";"US";"web"
"10";"Georgia";76;"quantity";"US";"web"
"11";"Utah";76;"quantity";"US";"web"
"12";"Michigan";74;"quantity";"US";"web"
"13";"Nebraska";74;"quantity";"US";"web"
"14";"South Dakota";74;"quantity";"US";"web"
"15";"Indiana";73;"quantity";"US";"web"
"16";"Connecticut";72;"quantity";"US";"web"
"17";"Alabama";72;"quantity";"US";"web"
"18";"Florida";72;"quantity";"US";"web"
"19";"Vermont";72;"quantity";"US";"web"
"20";"Tennessee";71;"quantity";"US";"web"
"21";"Arkansas";70;"quantity";"US";"web"
"22";"Pennsylvania";70;"quantity";"US";"web"
"23";"Massachusetts";70;"quantity";"US";"web"
"24";"Hawaii";70;"quantity";"US";"web"
"25";"North Dakota";69;"quantity";"US";"web"
"26";"Ohio";69;"quantity";"US";"web"
"27";"Louisiana";68;"quantity";"US";"web"
"28";"Mississippi";68;"quantity";"US";"web"
"29";"Alaska";68;"quantity";"US";"web"
"30";"New Mexico";66;"quantity";"US";"web"
"31";"Nevada";65;"quantity";"US";"web"
"32";"West Virginia";65;"quantity";"US";"web"
"33";"Virginia";64;"quantity";"US";"web"
"34";"Texas";64;"quantity";"US";"web"
"35";"New Jersey";63;"quantity";"US";"web"
"36";"North Carolina";62;"quantity";"US";"web"
"37";"California";62;"quantity";"US";"web"
"38";"Wyoming";60;"quantity";"US";"web"
"39";"Maryland";60;"quantity";"US";"web"
"40";"Washington";59;"quantity";"US";"web"
"41";"Rhode Island";59;"quantity";"US";"web"
"42";"Missouri";58;"quantity";"US";"web"
"43";"Arizona";58;"quantity";"US";"web"
"44";"Illinois";57;"quantity";"US";"web"
"45";"Oregon";57;"quantity";"US";"web"
"46";"New York";56;"quantity";"US";"web"
"47";"Montana";56;"quantity";"US";"web"
"48";"Minnesota";55;"quantity";"US";"web"
"49";"Colorado";54;"quantity";"US";"web"
"50";"District of Columbia";51;"quantity";"US";"web"
"51";"Maine";33;"quantity";"US";"web"
