"";"location";"hits";"keyword";"geo";"gprop"
"1";"Nevada";100;"quest";"US";"web"
"2";"Connecticut";96;"quest";"US";"web"
"3";"Arizona";90;"quest";"US";"web"
"4";"Washington";90;"quest";"US";"web"
"5";"Florida";90;"quest";"US";"web"
"6";"Idaho";88;"quest";"US";"web"
"7";"Pennsylvania";86;"quest";"US";"web"
"8";"Delaware";80;"quest";"US";"web"
"9";"Alaska";80;"quest";"US";"web"
"10";"Hawaii";80;"quest";"US";"web"
"11";"Maine";76;"quest";"US";"web"
"12";"Kansas";75;"quest";"US";"web"
"13";"New Jersey";74;"quest";"US";"web"
"14";"Montana";74;"quest";"US";"web"
"15";"Maryland";74;"quest";"US";"web"
"16";"West Virginia";73;"quest";"US";"web"
"17";"New Hampshire";73;"quest";"US";"web"
"18";"New Mexico";70;"quest";"US";"web"
"19";"Nebraska";69;"quest";"US";"web"
"20";"California";69;"quest";"US";"web"
"21";"Missouri";68;"quest";"US";"web"
"22";"Arkansas";68;"quest";"US";"web"
"23";"Utah";68;"quest";"US";"web"
"24";"Kentucky";67;"quest";"US";"web"
"25";"Texas";66;"quest";"US";"web"
"26";"Ohio";66;"quest";"US";"web"
"27";"Wisconsin";66;"quest";"US";"web"
"28";"Michigan";66;"quest";"US";"web"
"29";"South Dakota";66;"quest";"US";"web"
"30";"Alabama";65;"quest";"US";"web"
"31";"Rhode Island";64;"quest";"US";"web"
"32";"Wyoming";64;"quest";"US";"web"
"33";"Louisiana";64;"quest";"US";"web"
"34";"Colorado";64;"quest";"US";"web"
"35";"Virginia";63;"quest";"US";"web"
"36";"Indiana";63;"quest";"US";"web"
"37";"Tennessee";63;"quest";"US";"web"
"38";"Iowa";62;"quest";"US";"web"
"39";"Oklahoma";62;"quest";"US";"web"
"40";"New York";61;"quest";"US";"web"
"41";"Massachusetts";61;"quest";"US";"web"
"42";"South Carolina";61;"quest";"US";"web"
"43";"North Dakota";60;"quest";"US";"web"
"44";"North Carolina";60;"quest";"US";"web"
"45";"Minnesota";60;"quest";"US";"web"
"46";"Vermont";59;"quest";"US";"web"
"47";"Illinois";57;"quest";"US";"web"
"48";"Georgia";55;"quest";"US";"web"
"49";"Mississippi";54;"quest";"US";"web"
"50";"District of Columbia";46;"quest";"US";"web"
"51";"Oregon";45;"quest";"US";"web"
