"";"location";"hits";"keyword";"geo";"gprop"
"1";"District of Columbia";100;"requirement";"US";"web"
"2";"Virginia";100;"requirement";"US";"web"
"3";"California";85;"requirement";"US";"web"
"4";"Delaware";85;"requirement";"US";"web"
"5";"Maryland";82;"requirement";"US";"web"
"6";"Hawaii";82;"requirement";"US";"web"
"7";"New Jersey";81;"requirement";"US";"web"
"8";"Connecticut";78;"requirement";"US";"web"
"9";"Washington";76;"requirement";"US";"web"
"10";"Massachusetts";75;"requirement";"US";"web"
"11";"Indiana";74;"requirement";"US";"web"
"12";"Idaho";74;"requirement";"US";"web"
"13";"North Dakota";74;"requirement";"US";"web"
"14";"Georgia";73;"requirement";"US";"web"
"15";"North Carolina";71;"requirement";"US";"web"
"16";"Mississippi";71;"requirement";"US";"web"
"17";"South Dakota";70;"requirement";"US";"web"
"18";"Florida";70;"requirement";"US";"web"
"19";"New Hampshire";69;"requirement";"US";"web"
"20";"Utah";69;"requirement";"US";"web"
"21";"Louisiana";69;"requirement";"US";"web"
"22";"New York";69;"requirement";"US";"web"
"23";"Alaska";68;"requirement";"US";"web"
"24";"Oregon";67;"requirement";"US";"web"
"25";"Illinois";67;"requirement";"US";"web"
"26";"Minnesota";67;"requirement";"US";"web"
"27";"Rhode Island";66;"requirement";"US";"web"
"28";"Michigan";66;"requirement";"US";"web"
"29";"Nebraska";66;"requirement";"US";"web"
"30";"Texas";65;"requirement";"US";"web"
"31";"Kansas";64;"requirement";"US";"web"
"32";"South Carolina";64;"requirement";"US";"web"
"33";"Pennsylvania";64;"requirement";"US";"web"
"34";"Ohio";64;"requirement";"US";"web"
"35";"Alabama";63;"requirement";"US";"web"
"36";"Wisconsin";62;"requirement";"US";"web"
"37";"Oklahoma";62;"requirement";"US";"web"
"38";"West Virginia";62;"requirement";"US";"web"
"39";"Tennessee";62;"requirement";"US";"web"
"40";"New Mexico";62;"requirement";"US";"web"
"41";"Missouri";61;"requirement";"US";"web"
"42";"Montana";61;"requirement";"US";"web"
"43";"Arizona";61;"requirement";"US";"web"
"44";"Iowa";61;"requirement";"US";"web"
"45";"Maine";59;"requirement";"US";"web"
"46";"Colorado";58;"requirement";"US";"web"
"47";"Nevada";58;"requirement";"US";"web"
"48";"Kentucky";56;"requirement";"US";"web"
"49";"Vermont";55;"requirement";"US";"web"
"50";"Arkansas";54;"requirement";"US";"web"
"51";"Wyoming";51;"requirement";"US";"web"
