"";"location";"hits";"keyword";"geo";"gprop"
"1";"South Dakota";100;"resulting";"US";"web"
"2";"Delaware";86;"resulting";"US";"web"
"3";"Indiana";85;"resulting";"US";"web"
"4";"Oklahoma";85;"resulting";"US";"web"
"5";"North Dakota";84;"resulting";"US";"web"
"6";"New Mexico";75;"resulting";"US";"web"
"7";"West Virginia";74;"resulting";"US";"web"
"8";"Kansas";69;"resulting";"US";"web"
"9";"Wyoming";68;"resulting";"US";"web"
"10";"Arkansas";67;"resulting";"US";"web"
"11";"Nebraska";65;"resulting";"US";"web"
"12";"Arizona";64;"resulting";"US";"web"
"13";"Nevada";64;"resulting";"US";"web"
"14";"Alaska";63;"resulting";"US";"web"
"15";"South Carolina";63;"resulting";"US";"web"
"16";"Tennessee";61;"resulting";"US";"web"
"17";"North Carolina";61;"resulting";"US";"web"
"18";"Idaho";59;"resulting";"US";"web"
"19";"Hawaii";59;"resulting";"US";"web"
"20";"Iowa";59;"resulting";"US";"web"
"21";"Pennsylvania";58;"resulting";"US";"web"
"22";"Maryland";57;"resulting";"US";"web"
"23";"Florida";57;"resulting";"US";"web"
"24";"Connecticut";56;"resulting";"US";"web"
"25";"Alabama";56;"resulting";"US";"web"
"26";"Ohio";55;"resulting";"US";"web"
"27";"Rhode Island";54;"resulting";"US";"web"
"28";"Colorado";52;"resulting";"US";"web"
"29";"Virginia";50;"resulting";"US";"web"
"30";"Vermont";50;"resulting";"US";"web"
"31";"New Jersey";50;"resulting";"US";"web"
"32";"Texas";49;"resulting";"US";"web"
"33";"Montana";48;"resulting";"US";"web"
"34";"Louisiana";48;"resulting";"US";"web"
"35";"Kentucky";47;"resulting";"US";"web"
"36";"Missouri";45;"resulting";"US";"web"
"37";"Michigan";45;"resulting";"US";"web"
"38";"Oregon";44;"resulting";"US";"web"
"39";"Utah";44;"resulting";"US";"web"
"40";"Minnesota";44;"resulting";"US";"web"
"41";"Georgia";43;"resulting";"US";"web"
"42";"California";43;"resulting";"US";"web"
"43";"Washington";41;"resulting";"US";"web"
"44";"Wisconsin";40;"resulting";"US";"web"
"45";"Massachusetts";40;"resulting";"US";"web"
"46";"New Hampshire";39;"resulting";"US";"web"
"47";"Mississippi";38;"resulting";"US";"web"
"48";"New York";37;"resulting";"US";"web"
"49";"Illinois";37;"resulting";"US";"web"
"50";"Maine";35;"resulting";"US";"web"
"51";"District of Columbia";26;"resulting";"US";"web"
