"";"location";"hits";"keyword";"geo";"gprop"
"1";"Maine";100;"sad";"US";"web"
"2";"Virginia";84;"sad";"US";"web"
"3";"Kansas";65;"sad";"US";"web"
"4";"New Mexico";57;"sad";"US";"web"
"5";"West Virginia";57;"sad";"US";"web"
"6";"Alaska";56;"sad";"US";"web"
"7";"Indiana";55;"sad";"US";"web"
"8";"Nevada";54;"sad";"US";"web"
"9";"California";54;"sad";"US";"web"
"10";"Idaho";54;"sad";"US";"web"
"11";"Utah";54;"sad";"US";"web"
"12";"Texas";53;"sad";"US";"web"
"13";"South Dakota";53;"sad";"US";"web"
"14";"Wyoming";53;"sad";"US";"web"
"15";"Hawaii";53;"sad";"US";"web"
"16";"Iowa";52;"sad";"US";"web"
"17";"Vermont";52;"sad";"US";"web"
"18";"Nebraska";52;"sad";"US";"web"
"19";"New Hampshire";52;"sad";"US";"web"
"20";"Arkansas";52;"sad";"US";"web"
"21";"Wisconsin";52;"sad";"US";"web"
"22";"Arizona";51;"sad";"US";"web"
"23";"New Jersey";51;"sad";"US";"web"
"24";"Kentucky";51;"sad";"US";"web"
"25";"Michigan";50;"sad";"US";"web"
"26";"Colorado";50;"sad";"US";"web"
"27";"Oklahoma";50;"sad";"US";"web"
"28";"North Dakota";50;"sad";"US";"web"
"29";"Minnesota";50;"sad";"US";"web"
"30";"Pennsylvania";49;"sad";"US";"web"
"31";"Ohio";49;"sad";"US";"web"
"32";"Connecticut";49;"sad";"US";"web"
"33";"Rhode Island";49;"sad";"US";"web"
"34";"Montana";49;"sad";"US";"web"
"35";"Illinois";49;"sad";"US";"web"
"36";"Washington";49;"sad";"US";"web"
"37";"Oregon";49;"sad";"US";"web"
"38";"New York";48;"sad";"US";"web"
"39";"Massachusetts";47;"sad";"US";"web"
"40";"Missouri";47;"sad";"US";"web"
"41";"Maryland";46;"sad";"US";"web"
"42";"Tennessee";45;"sad";"US";"web"
"43";"North Carolina";45;"sad";"US";"web"
"44";"Delaware";45;"sad";"US";"web"
"45";"South Carolina";44;"sad";"US";"web"
"46";"Georgia";44;"sad";"US";"web"
"47";"Alabama";43;"sad";"US";"web"
"48";"Mississippi";43;"sad";"US";"web"
"49";"Florida";43;"sad";"US";"web"
"50";"Louisiana";41;"sad";"US";"web"
"51";"District of Columbia";39;"sad";"US";"web"
