"";"location";"hits";"keyword";"geo";"gprop"
"1";"West Virginia";100;"shattered";"US";"web"
"2";"South Dakota";98;"shattered";"US";"web"
"3";"New Hampshire";95;"shattered";"US";"web"
"4";"Utah";94;"shattered";"US";"web"
"5";"Nevada";87;"shattered";"US";"web"
"6";"Indiana";86;"shattered";"US";"web"
"7";"Tennessee";85;"shattered";"US";"web"
"8";"Louisiana";85;"shattered";"US";"web"
"9";"Ohio";85;"shattered";"US";"web"
"10";"Missouri";85;"shattered";"US";"web"
"11";"Pennsylvania";84;"shattered";"US";"web"
"12";"Kentucky";83;"shattered";"US";"web"
"13";"Rhode Island";83;"shattered";"US";"web"
"14";"Michigan";83;"shattered";"US";"web"
"15";"Maryland";83;"shattered";"US";"web"
"16";"South Carolina";82;"shattered";"US";"web"
"17";"Oklahoma";82;"shattered";"US";"web"
"18";"Wisconsin";81;"shattered";"US";"web"
"19";"Arkansas";81;"shattered";"US";"web"
"20";"Wyoming";81;"shattered";"US";"web"
"21";"New Mexico";81;"shattered";"US";"web"
"22";"Kansas";81;"shattered";"US";"web"
"23";"Texas";81;"shattered";"US";"web"
"24";"New Jersey";80;"shattered";"US";"web"
"25";"Illinois";78;"shattered";"US";"web"
"26";"Connecticut";78;"shattered";"US";"web"
"27";"Alabama";77;"shattered";"US";"web"
"28";"Alaska";77;"shattered";"US";"web"
"29";"Iowa";76;"shattered";"US";"web"
"30";"California";76;"shattered";"US";"web"
"31";"Montana";75;"shattered";"US";"web"
"32";"Idaho";75;"shattered";"US";"web"
"33";"Virginia";75;"shattered";"US";"web"
"34";"Mississippi";75;"shattered";"US";"web"
"35";"Arizona";74;"shattered";"US";"web"
"36";"Maine";74;"shattered";"US";"web"
"37";"New York";73;"shattered";"US";"web"
"38";"Colorado";73;"shattered";"US";"web"
"39";"Oregon";73;"shattered";"US";"web"
"40";"Hawaii";73;"shattered";"US";"web"
"41";"Florida";72;"shattered";"US";"web"
"42";"Georgia";72;"shattered";"US";"web"
"43";"Nebraska";71;"shattered";"US";"web"
"44";"Massachusetts";70;"shattered";"US";"web"
"45";"Washington";70;"shattered";"US";"web"
"46";"North Dakota";67;"shattered";"US";"web"
"47";"Minnesota";67;"shattered";"US";"web"
"48";"Delaware";66;"shattered";"US";"web"
"49";"North Carolina";65;"shattered";"US";"web"
"50";"Vermont";58;"shattered";"US";"web"
"51";"District of Columbia";48;"shattered";"US";"web"
