"";"location";"hits";"keyword";"geo";"gprop"
"1";"Delaware";100;"skills";"US";"web"
"2";"Arkansas";99;"skills";"US";"web"
"3";"Iowa";93;"skills";"US";"web"
"4";"Maryland";93;"skills";"US";"web"
"5";"Hawaii";92;"skills";"US";"web"
"6";"Indiana";92;"skills";"US";"web"
"7";"Virginia";92;"skills";"US";"web"
"8";"Mississippi";91;"skills";"US";"web"
"9";"Rhode Island";91;"skills";"US";"web"
"10";"North Dakota";91;"skills";"US";"web"
"11";"Vermont";90;"skills";"US";"web"
"12";"West Virginia";88;"skills";"US";"web"
"13";"Wyoming";88;"skills";"US";"web"
"14";"North Carolina";88;"skills";"US";"web"
"15";"Alabama";88;"skills";"US";"web"
"16";"Alaska";88;"skills";"US";"web"
"17";"Kentucky";87;"skills";"US";"web"
"18";"South Dakota";86;"skills";"US";"web"
"19";"Missouri";86;"skills";"US";"web"
"20";"Louisiana";86;"skills";"US";"web"
"21";"Minnesota";86;"skills";"US";"web"
"22";"Nebraska";86;"skills";"US";"web"
"23";"Kansas";86;"skills";"US";"web"
"24";"Wisconsin";86;"skills";"US";"web"
"25";"South Carolina";85;"skills";"US";"web"
"26";"Oklahoma";84;"skills";"US";"web"
"27";"Ohio";83;"skills";"US";"web"
"28";"Idaho";82;"skills";"US";"web"
"29";"California";82;"skills";"US";"web"
"30";"New Hampshire";82;"skills";"US";"web"
"31";"Georgia";82;"skills";"US";"web"
"32";"New Jersey";82;"skills";"US";"web"
"33";"Washington";82;"skills";"US";"web"
"34";"New Mexico";81;"skills";"US";"web"
"35";"Utah";81;"skills";"US";"web"
"36";"Arizona";81;"skills";"US";"web"
"37";"Massachusetts";80;"skills";"US";"web"
"38";"Connecticut";79;"skills";"US";"web"
"39";"Illinois";79;"skills";"US";"web"
"40";"Michigan";78;"skills";"US";"web"
"41";"Maine";78;"skills";"US";"web"
"42";"Texas";77;"skills";"US";"web"
"43";"Oregon";77;"skills";"US";"web"
"44";"Pennsylvania";76;"skills";"US";"web"
"45";"Tennessee";75;"skills";"US";"web"
"46";"New York";75;"skills";"US";"web"
"47";"Montana";73;"skills";"US";"web"
"48";"Florida";73;"skills";"US";"web"
"49";"Nevada";72;"skills";"US";"web"
"50";"District of Columbia";69;"skills";"US";"web"
"51";"Colorado";69;"skills";"US";"web"
