"";"location";"hits";"keyword";"geo";"gprop"
"1";"Nebraska";100;"slowdown";"US";"web"
"2";"Iowa";7;"slowdown";"US";"web"
"3";"District of Columbia";6;"slowdown";"US";"web"
"4";"Alaska";6;"slowdown";"US";"web"
"5";"South Dakota";5;"slowdown";"US";"web"
"6";"Washington";5;"slowdown";"US";"web"
"7";"Arkansas";4;"slowdown";"US";"web"
"8";"Massachusetts";4;"slowdown";"US";"web"
"9";"West Virginia";4;"slowdown";"US";"web"
"10";"Missouri";4;"slowdown";"US";"web"
"11";"Kentucky";4;"slowdown";"US";"web"
"12";"Minnesota";4;"slowdown";"US";"web"
"13";"Oregon";4;"slowdown";"US";"web"
"14";"Nevada";3;"slowdown";"US";"web"
"15";"California";3;"slowdown";"US";"web"
"16";"Alabama";3;"slowdown";"US";"web"
"17";"Rhode Island";3;"slowdown";"US";"web"
"18";"New Hampshire";3;"slowdown";"US";"web"
"19";"New York";3;"slowdown";"US";"web"
"20";"Kansas";3;"slowdown";"US";"web"
"21";"Idaho";3;"slowdown";"US";"web"
"22";"Maryland";3;"slowdown";"US";"web"
"23";"Pennsylvania";3;"slowdown";"US";"web"
"24";"Wisconsin";3;"slowdown";"US";"web"
"25";"Oklahoma";3;"slowdown";"US";"web"
"26";"Michigan";3;"slowdown";"US";"web"
"27";"Connecticut";3;"slowdown";"US";"web"
"28";"Arizona";3;"slowdown";"US";"web"
"29";"South Carolina";3;"slowdown";"US";"web"
"30";"New Mexico";3;"slowdown";"US";"web"
"31";"Indiana";3;"slowdown";"US";"web"
"32";"Utah";3;"slowdown";"US";"web"
"33";"Texas";3;"slowdown";"US";"web"
"34";"Virginia";2;"slowdown";"US";"web"
"35";"North Carolina";2;"slowdown";"US";"web"
"36";"Louisiana";2;"slowdown";"US";"web"
"37";"New Jersey";2;"slowdown";"US";"web"
"38";"Florida";2;"slowdown";"US";"web"
"39";"Georgia";2;"slowdown";"US";"web"
"40";"Colorado";2;"slowdown";"US";"web"
"41";"Ohio";2;"slowdown";"US";"web"
"42";"Illinois";2;"slowdown";"US";"web"
"43";"Hawaii";2;"slowdown";"US";"web"
"44";"Tennessee";2;"slowdown";"US";"web"
"45";"Montana";2;"slowdown";"US";"web"
"46";"Mississippi";1;"slowdown";"US";"web"
"47";"Maine";1;"slowdown";"US";"web"
