"";"location";"hits";"keyword";"geo";"gprop"
"1";"West Virginia";100;"sorrow";"US";"web"
"2";"Arkansas";77;"sorrow";"US";"web"
"3";"South Dakota";76;"sorrow";"US";"web"
"4";"Kentucky";72;"sorrow";"US";"web"
"5";"Utah";72;"sorrow";"US";"web"
"6";"Alabama";71;"sorrow";"US";"web"
"7";"New Hampshire";70;"sorrow";"US";"web"
"8";"South Carolina";68;"sorrow";"US";"web"
"9";"Mississippi";68;"sorrow";"US";"web"
"10";"Wyoming";67;"sorrow";"US";"web"
"11";"Vermont";66;"sorrow";"US";"web"
"12";"Virginia";66;"sorrow";"US";"web"
"13";"Ohio";65;"sorrow";"US";"web"
"14";"Indiana";65;"sorrow";"US";"web"
"15";"Oklahoma";63;"sorrow";"US";"web"
"16";"Nevada";63;"sorrow";"US";"web"
"17";"Colorado";63;"sorrow";"US";"web"
"18";"Tennessee";62;"sorrow";"US";"web"
"19";"Iowa";62;"sorrow";"US";"web"
"20";"North Carolina";60;"sorrow";"US";"web"
"21";"New Mexico";60;"sorrow";"US";"web"
"22";"Pennsylvania";60;"sorrow";"US";"web"
"23";"Connecticut";59;"sorrow";"US";"web"
"24";"Georgia";59;"sorrow";"US";"web"
"25";"Louisiana";58;"sorrow";"US";"web"
"26";"New Jersey";58;"sorrow";"US";"web"
"27";"Arizona";57;"sorrow";"US";"web"
"28";"Idaho";57;"sorrow";"US";"web"
"29";"Michigan";57;"sorrow";"US";"web"
"30";"Maryland";57;"sorrow";"US";"web"
"31";"Massachusetts";57;"sorrow";"US";"web"
"32";"California";57;"sorrow";"US";"web"
"33";"Montana";57;"sorrow";"US";"web"
"34";"Oregon";56;"sorrow";"US";"web"
"35";"Maine";56;"sorrow";"US";"web"
"36";"Alaska";55;"sorrow";"US";"web"
"37";"Washington";55;"sorrow";"US";"web"
"38";"Wisconsin";55;"sorrow";"US";"web"
"39";"Missouri";54;"sorrow";"US";"web"
"40";"Illinois";54;"sorrow";"US";"web"
"41";"New York";54;"sorrow";"US";"web"
"42";"Texas";52;"sorrow";"US";"web"
"43";"Rhode Island";50;"sorrow";"US";"web"
"44";"Kansas";50;"sorrow";"US";"web"
"45";"Nebraska";49;"sorrow";"US";"web"
"46";"Florida";49;"sorrow";"US";"web"
"47";"Minnesota";49;"sorrow";"US";"web"
"48";"Hawaii";47;"sorrow";"US";"web"
"49";"Delaware";47;"sorrow";"US";"web"
"50";"District of Columbia";40;"sorrow";"US";"web"
"51";"North Dakota";38;"sorrow";"US";"web"
