"";"location";"hits";"keyword";"geo";"gprop"
"1";"West Virginia";100;"stress";"US";"web"
"2";"Rhode Island";93;"stress";"US";"web"
"3";"Indiana";91;"stress";"US";"web"
"4";"Connecticut";91;"stress";"US";"web"
"5";"New Jersey";90;"stress";"US";"web"
"6";"Maine";90;"stress";"US";"web"
"7";"Vermont";89;"stress";"US";"web"
"8";"Pennsylvania";89;"stress";"US";"web"
"9";"New Hampshire";89;"stress";"US";"web"
"10";"Iowa";89;"stress";"US";"web"
"11";"Delaware";88;"stress";"US";"web"
"12";"Ohio";87;"stress";"US";"web"
"13";"Massachusetts";87;"stress";"US";"web"
"14";"South Dakota";86;"stress";"US";"web"
"15";"Missouri";86;"stress";"US";"web"
"16";"Wisconsin";86;"stress";"US";"web"
"17";"Maryland";86;"stress";"US";"web"
"18";"Montana";85;"stress";"US";"web"
"19";"Virginia";84;"stress";"US";"web"
"20";"New Mexico";84;"stress";"US";"web"
"21";"Nebraska";84;"stress";"US";"web"
"22";"North Dakota";83;"stress";"US";"web"
"23";"Alabama";83;"stress";"US";"web"
"24";"Michigan";82;"stress";"US";"web"
"25";"Kentucky";82;"stress";"US";"web"
"26";"Mississippi";81;"stress";"US";"web"
"27";"Colorado";81;"stress";"US";"web"
"28";"Minnesota";81;"stress";"US";"web"
"29";"South Carolina";81;"stress";"US";"web"
"30";"Kansas";81;"stress";"US";"web"
"31";"Wyoming";80;"stress";"US";"web"
"32";"New York";79;"stress";"US";"web"
"33";"Idaho";78;"stress";"US";"web"
"34";"North Carolina";78;"stress";"US";"web"
"35";"Oklahoma";78;"stress";"US";"web"
"36";"Illinois";78;"stress";"US";"web"
"37";"Louisiana";78;"stress";"US";"web"
"38";"California";77;"stress";"US";"web"
"39";"Arizona";77;"stress";"US";"web"
"40";"Utah";76;"stress";"US";"web"
"41";"Oregon";75;"stress";"US";"web"
"42";"Tennessee";75;"stress";"US";"web"
"43";"Alaska";75;"stress";"US";"web"
"44";"Georgia";75;"stress";"US";"web"
"45";"District of Columbia";74;"stress";"US";"web"
"46";"Washington";74;"stress";"US";"web"
"47";"Arkansas";74;"stress";"US";"web"
"48";"Florida";73;"stress";"US";"web"
"49";"Hawaii";73;"stress";"US";"web"
"50";"Texas";72;"stress";"US";"web"
"51";"Nevada";66;"stress";"US";"web"
