"";"location";"hits";"keyword";"geo";"gprop"
"1";"South Dakota";100;"substances";"US";"web"
"2";"North Dakota";94;"substances";"US";"web"
"3";"West Virginia";82;"substances";"US";"web"
"4";"Mississippi";80;"substances";"US";"web"
"5";"Idaho";74;"substances";"US";"web"
"6";"Indiana";71;"substances";"US";"web"
"7";"Delaware";71;"substances";"US";"web"
"8";"Alabama";70;"substances";"US";"web"
"9";"Iowa";69;"substances";"US";"web"
"10";"North Carolina";67;"substances";"US";"web"
"11";"Arkansas";66;"substances";"US";"web"
"12";"New Mexico";66;"substances";"US";"web"
"13";"Ohio";64;"substances";"US";"web"
"14";"New Jersey";59;"substances";"US";"web"
"15";"South Carolina";59;"substances";"US";"web"
"16";"Michigan";58;"substances";"US";"web"
"17";"Nebraska";56;"substances";"US";"web"
"18";"Pennsylvania";55;"substances";"US";"web"
"19";"Connecticut";55;"substances";"US";"web"
"20";"Tennessee";55;"substances";"US";"web"
"21";"Kentucky";55;"substances";"US";"web"
"22";"Louisiana";54;"substances";"US";"web"
"23";"New Hampshire";53;"substances";"US";"web"
"24";"Florida";53;"substances";"US";"web"
"25";"Oklahoma";53;"substances";"US";"web"
"26";"Texas";52;"substances";"US";"web"
"27";"Maryland";52;"substances";"US";"web"
"28";"Kansas";52;"substances";"US";"web"
"29";"Minnesota";52;"substances";"US";"web"
"30";"Georgia";52;"substances";"US";"web"
"31";"Massachusetts";50;"substances";"US";"web"
"32";"Wisconsin";49;"substances";"US";"web"
"33";"Missouri";49;"substances";"US";"web"
"34";"New York";48;"substances";"US";"web"
"35";"Maine";48;"substances";"US";"web"
"36";"Illinois";47;"substances";"US";"web"
"37";"Arizona";46;"substances";"US";"web"
"38";"California";46;"substances";"US";"web"
"39";"Utah";45;"substances";"US";"web"
"40";"Alaska";45;"substances";"US";"web"
"41";"Hawaii";45;"substances";"US";"web"
"42";"Colorado";44;"substances";"US";"web"
"43";"District of Columbia";44;"substances";"US";"web"
"44";"Nevada";44;"substances";"US";"web"
"45";"Virginia";42;"substances";"US";"web"
"46";"Montana";42;"substances";"US";"web"
"47";"Rhode Island";42;"substances";"US";"web"
"48";"Vermont";42;"substances";"US";"web"
"49";"Wyoming";40;"substances";"US";"web"
"50";"Washington";37;"substances";"US";"web"
"51";"Oregon";25;"substances";"US";"web"
