"";"location";"hits";"keyword";"geo";"gprop"
"1";"Louisiana";100;"succor";"US";"web"
"2";"Idaho";53;"succor";"US";"web"
"3";"Utah";33;"succor";"US";"web"
"4";"Mississippi";21;"succor";"US";"web"
"5";"Maine";20;"succor";"US";"web"
"6";"Arizona";19;"succor";"US";"web"
"7";"Nebraska";17;"succor";"US";"web"
"8";"Missouri";16;"succor";"US";"web"
"9";"Oklahoma";16;"succor";"US";"web"
"10";"Iowa";15;"succor";"US";"web"
"11";"Montana";15;"succor";"US";"web"
"12";"Maryland";14;"succor";"US";"web"
"13";"Connecticut";13;"succor";"US";"web"
"14";"New York";12;"succor";"US";"web"
"15";"North Carolina";12;"succor";"US";"web"
"16";"Colorado";12;"succor";"US";"web"
"17";"Arkansas";12;"succor";"US";"web"
"18";"Washington";12;"succor";"US";"web"
"19";"Minnesota";11;"succor";"US";"web"
"20";"Pennsylvania";11;"succor";"US";"web"
"21";"Georgia";11;"succor";"US";"web"
"22";"New Mexico";11;"succor";"US";"web"
"23";"Hawaii";11;"succor";"US";"web"
"24";"Texas";11;"succor";"US";"web"
"25";"Oregon";10;"succor";"US";"web"
"26";"Kansas";10;"succor";"US";"web"
"27";"Florida";10;"succor";"US";"web"
"28";"Illinois";10;"succor";"US";"web"
"29";"North Dakota";10;"succor";"US";"web"
"30";"Alabama";10;"succor";"US";"web"
"31";"Tennessee";9;"succor";"US";"web"
"32";"Indiana";9;"succor";"US";"web"
"33";"District of Columbia";9;"succor";"US";"web"
"34";"Massachusetts";9;"succor";"US";"web"
"35";"Ohio";9;"succor";"US";"web"
"36";"California";8;"succor";"US";"web"
"37";"Kentucky";8;"succor";"US";"web"
"38";"New Jersey";8;"succor";"US";"web"
"39";"New Hampshire";8;"succor";"US";"web"
"40";"Wisconsin";8;"succor";"US";"web"
"41";"Michigan";7;"succor";"US";"web"
"42";"Virginia";6;"succor";"US";"web"
"43";"South Carolina";6;"succor";"US";"web"
"44";"West Virginia";5;"succor";"US";"web"
"45";"Nevada";5;"succor";"US";"web"
