"";"location";"hits";"keyword";"geo";"gprop"
"1";"New Mexico";100;"suffer";"US";"web"
"2";"Alabama";97;"suffer";"US";"web"
"3";"Arkansas";93;"suffer";"US";"web"
"4";"Mississippi";93;"suffer";"US";"web"
"5";"South Dakota";92;"suffer";"US";"web"
"6";"West Virginia";91;"suffer";"US";"web"
"7";"Indiana";89;"suffer";"US";"web"
"8";"New Jersey";89;"suffer";"US";"web"
"9";"North Carolina";89;"suffer";"US";"web"
"10";"Delaware";87;"suffer";"US";"web"
"11";"Arizona";87;"suffer";"US";"web"
"12";"Maryland";86;"suffer";"US";"web"
"13";"Florida";86;"suffer";"US";"web"
"14";"Utah";86;"suffer";"US";"web"
"15";"Maine";85;"suffer";"US";"web"
"16";"Nevada";85;"suffer";"US";"web"
"17";"Kansas";85;"suffer";"US";"web"
"18";"Iowa";85;"suffer";"US";"web"
"19";"South Carolina";84;"suffer";"US";"web"
"20";"Ohio";84;"suffer";"US";"web"
"21";"Pennsylvania";84;"suffer";"US";"web"
"22";"Oklahoma";83;"suffer";"US";"web"
"23";"Vermont";83;"suffer";"US";"web"
"24";"California";83;"suffer";"US";"web"
"25";"Louisiana";83;"suffer";"US";"web"
"26";"Alaska";83;"suffer";"US";"web"
"27";"Nebraska";82;"suffer";"US";"web"
"28";"Kentucky";81;"suffer";"US";"web"
"29";"New York";81;"suffer";"US";"web"
"30";"Tennessee";81;"suffer";"US";"web"
"31";"Rhode Island";80;"suffer";"US";"web"
"32";"Georgia";80;"suffer";"US";"web"
"33";"Michigan";80;"suffer";"US";"web"
"34";"New Hampshire";80;"suffer";"US";"web"
"35";"Hawaii";79;"suffer";"US";"web"
"36";"Connecticut";78;"suffer";"US";"web"
"37";"Idaho";78;"suffer";"US";"web"
"38";"Texas";78;"suffer";"US";"web"
"39";"North Dakota";78;"suffer";"US";"web"
"40";"Missouri";78;"suffer";"US";"web"
"41";"Virginia";77;"suffer";"US";"web"
"42";"Illinois";76;"suffer";"US";"web"
"43";"Wisconsin";76;"suffer";"US";"web"
"44";"Wyoming";75;"suffer";"US";"web"
"45";"Minnesota";74;"suffer";"US";"web"
"46";"Massachusetts";74;"suffer";"US";"web"
"47";"Montana";72;"suffer";"US";"web"
"48";"Colorado";71;"suffer";"US";"web"
"49";"District of Columbia";71;"suffer";"US";"web"
"50";"Washington";69;"suffer";"US";"web"
"51";"Oregon";63;"suffer";"US";"web"
