"";"location";"hits";"keyword";"geo";"gprop"
"1";"West Virginia";100;"symptoms";"US";"web"
"2";"Kentucky";96;"symptoms";"US";"web"
"3";"Mississippi";96;"symptoms";"US";"web"
"4";"South Dakota";95;"symptoms";"US";"web"
"5";"Tennessee";92;"symptoms";"US";"web"
"6";"Arkansas";91;"symptoms";"US";"web"
"7";"Oklahoma";90;"symptoms";"US";"web"
"8";"Alabama";89;"symptoms";"US";"web"
"9";"Maine";88;"symptoms";"US";"web"
"10";"Indiana";87;"symptoms";"US";"web"
"11";"Missouri";86;"symptoms";"US";"web"
"12";"Ohio";85;"symptoms";"US";"web"
"13";"South Carolina";84;"symptoms";"US";"web"
"14";"Louisiana";83;"symptoms";"US";"web"
"15";"Wyoming";83;"symptoms";"US";"web"
"16";"Montana";82;"symptoms";"US";"web"
"17";"North Dakota";82;"symptoms";"US";"web"
"18";"Iowa";82;"symptoms";"US";"web"
"19";"Michigan";82;"symptoms";"US";"web"
"20";"New Mexico";81;"symptoms";"US";"web"
"21";"Minnesota";81;"symptoms";"US";"web"
"22";"Georgia";80;"symptoms";"US";"web"
"23";"Idaho";80;"symptoms";"US";"web"
"24";"New Hampshire";80;"symptoms";"US";"web"
"25";"Wisconsin";80;"symptoms";"US";"web"
"26";"Nebraska";79;"symptoms";"US";"web"
"27";"Pennsylvania";79;"symptoms";"US";"web"
"28";"North Carolina";79;"symptoms";"US";"web"
"29";"Kansas";78;"symptoms";"US";"web"
"30";"Utah";76;"symptoms";"US";"web"
"31";"Vermont";76;"symptoms";"US";"web"
"32";"Arizona";75;"symptoms";"US";"web"
"33";"Rhode Island";75;"symptoms";"US";"web"
"34";"Illinois";75;"symptoms";"US";"web"
"35";"Delaware";75;"symptoms";"US";"web"
"36";"Colorado";75;"symptoms";"US";"web"
"37";"Texas";73;"symptoms";"US";"web"
"38";"Nevada";72;"symptoms";"US";"web"
"39";"Maryland";72;"symptoms";"US";"web"
"40";"Alaska";71;"symptoms";"US";"web"
"41";"Washington";70;"symptoms";"US";"web"
"42";"Connecticut";70;"symptoms";"US";"web"
"43";"Massachusetts";70;"symptoms";"US";"web"
"44";"New Jersey";69;"symptoms";"US";"web"
"45";"Florida";69;"symptoms";"US";"web"
"46";"Hawaii";68;"symptoms";"US";"web"
"47";"District of Columbia";68;"symptoms";"US";"web"
"48";"California";63;"symptoms";"US";"web"
"49";"New York";61;"symptoms";"US";"web"
"50";"Virginia";59;"symptoms";"US";"web"
"51";"Oregon";43;"symptoms";"US";"web"
