"";"location";"hits";"keyword";"geo";"gprop"
"1";"Wyoming";100;"tack";"US";"web"
"2";"Vermont";83;"tack";"US";"web"
"3";"Montana";81;"tack";"US";"web"
"4";"Kentucky";78;"tack";"US";"web"
"5";"South Dakota";68;"tack";"US";"web"
"6";"New Hampshire";67;"tack";"US";"web"
"7";"Iowa";64;"tack";"US";"web"
"8";"Maine";64;"tack";"US";"web"
"9";"Idaho";62;"tack";"US";"web"
"10";"North Dakota";61;"tack";"US";"web"
"11";"Rhode Island";60;"tack";"US";"web"
"12";"Wisconsin";59;"tack";"US";"web"
"13";"Oregon";57;"tack";"US";"web"
"14";"Ohio";56;"tack";"US";"web"
"15";"Nebraska";55;"tack";"US";"web"
"16";"Oklahoma";55;"tack";"US";"web"
"17";"Michigan";54;"tack";"US";"web"
"18";"South Carolina";54;"tack";"US";"web"
"19";"Washington";53;"tack";"US";"web"
"20";"Pennsylvania";53;"tack";"US";"web"
"21";"Missouri";52;"tack";"US";"web"
"22";"North Carolina";51;"tack";"US";"web"
"23";"Indiana";51;"tack";"US";"web"
"24";"Colorado";51;"tack";"US";"web"
"25";"West Virginia";50;"tack";"US";"web"
"26";"Tennessee";50;"tack";"US";"web"
"27";"Minnesota";48;"tack";"US";"web"
"28";"Arizona";47;"tack";"US";"web"
"29";"Kansas";47;"tack";"US";"web"
"30";"Mississippi";45;"tack";"US";"web"
"31";"Utah";45;"tack";"US";"web"
"32";"Alabama";45;"tack";"US";"web"
"33";"Alaska";45;"tack";"US";"web"
"34";"Arkansas";45;"tack";"US";"web"
"35";"Nevada";44;"tack";"US";"web"
"36";"Virginia";43;"tack";"US";"web"
"37";"New Mexico";42;"tack";"US";"web"
"38";"Georgia";41;"tack";"US";"web"
"39";"District of Columbia";41;"tack";"US";"web"
"40";"Massachusetts";40;"tack";"US";"web"
"41";"Texas";40;"tack";"US";"web"
"42";"Louisiana";38;"tack";"US";"web"
"43";"Connecticut";38;"tack";"US";"web"
"44";"Maryland";38;"tack";"US";"web"
"45";"Florida";37;"tack";"US";"web"
"46";"California";37;"tack";"US";"web"
"47";"Illinois";36;"tack";"US";"web"
"48";"New York";32;"tack";"US";"web"
"49";"Delaware";30;"tack";"US";"web"
"50";"New Jersey";29;"tack";"US";"web"
"51";"Hawaii";26;"tack";"US";"web"
