"";"location";"hits";"keyword";"geo";"gprop"
"1";"Alabama";100;"tearful";"US";"web"
"2";"Arizona";96;"tearful";"US";"web"
"3";"Maryland";92;"tearful";"US";"web"
"4";"Kentucky";90;"tearful";"US";"web"
"5";"Colorado";86;"tearful";"US";"web"
"6";"Georgia";85;"tearful";"US";"web"
"7";"Michigan";84;"tearful";"US";"web"
"8";"Washington";84;"tearful";"US";"web"
"9";"Virginia";80;"tearful";"US";"web"
"10";"Massachusetts";78;"tearful";"US";"web"
"11";"North Carolina";76;"tearful";"US";"web"
"12";"Oklahoma";75;"tearful";"US";"web"
"13";"Louisiana";73;"tearful";"US";"web"
"14";"Florida";71;"tearful";"US";"web"
"15";"Pennsylvania";71;"tearful";"US";"web"
"16";"Indiana";68;"tearful";"US";"web"
"17";"New York";67;"tearful";"US";"web"
"18";"Connecticut";66;"tearful";"US";"web"
"19";"Oregon";66;"tearful";"US";"web"
"20";"Wisconsin";64;"tearful";"US";"web"
"21";"Tennessee";63;"tearful";"US";"web"
"22";"Illinois";62;"tearful";"US";"web"
"23";"California";62;"tearful";"US";"web"
"24";"Texas";60;"tearful";"US";"web"
"25";"Minnesota";59;"tearful";"US";"web"
"26";"Utah";57;"tearful";"US";"web"
"27";"Ohio";56;"tearful";"US";"web"
"28";"District of Columbia";54;"tearful";"US";"web"
"29";"New Jersey";53;"tearful";"US";"web"
"30";"Missouri";51;"tearful";"US";"web"
"31";"South Carolina";40;"tearful";"US";"web"
