"";"location";"hits";"keyword";"geo";"gprop"
"1";"Alabama";100;"teenagers";"US";"web"
"2";"Arkansas";100;"teenagers";"US";"web"
"3";"Mississippi";98;"teenagers";"US";"web"
"4";"Louisiana";97;"teenagers";"US";"web"
"5";"Indiana";96;"teenagers";"US";"web"
"6";"Utah";95;"teenagers";"US";"web"
"7";"North Dakota";94;"teenagers";"US";"web"
"8";"New Mexico";88;"teenagers";"US";"web"
"9";"Missouri";87;"teenagers";"US";"web"
"10";"Wyoming";86;"teenagers";"US";"web"
"11";"Iowa";85;"teenagers";"US";"web"
"12";"Kentucky";84;"teenagers";"US";"web"
"13";"Delaware";83;"teenagers";"US";"web"
"14";"South Carolina";82;"teenagers";"US";"web"
"15";"Maine";81;"teenagers";"US";"web"
"16";"North Carolina";81;"teenagers";"US";"web"
"17";"Connecticut";80;"teenagers";"US";"web"
"18";"Idaho";80;"teenagers";"US";"web"
"19";"New Jersey";80;"teenagers";"US";"web"
"20";"South Dakota";79;"teenagers";"US";"web"
"21";"Tennessee";79;"teenagers";"US";"web"
"22";"New Hampshire";79;"teenagers";"US";"web"
"23";"Pennsylvania";79;"teenagers";"US";"web"
"24";"Georgia";78;"teenagers";"US";"web"
"25";"Arizona";78;"teenagers";"US";"web"
"26";"Texas";77;"teenagers";"US";"web"
"27";"Ohio";76;"teenagers";"US";"web"
"28";"Nevada";75;"teenagers";"US";"web"
"29";"Illinois";75;"teenagers";"US";"web"
"30";"Rhode Island";75;"teenagers";"US";"web"
"31";"Montana";74;"teenagers";"US";"web"
"32";"Maryland";74;"teenagers";"US";"web"
"33";"Kansas";73;"teenagers";"US";"web"
"34";"Wisconsin";73;"teenagers";"US";"web"
"35";"Nebraska";73;"teenagers";"US";"web"
"36";"Michigan";73;"teenagers";"US";"web"
"37";"Colorado";72;"teenagers";"US";"web"
"38";"Minnesota";72;"teenagers";"US";"web"
"39";"Massachusetts";71;"teenagers";"US";"web"
"40";"Oklahoma";71;"teenagers";"US";"web"
"41";"West Virginia";71;"teenagers";"US";"web"
"42";"Virginia";70;"teenagers";"US";"web"
"43";"California";70;"teenagers";"US";"web"
"44";"Florida";70;"teenagers";"US";"web"
"45";"Vermont";68;"teenagers";"US";"web"
"46";"Alaska";67;"teenagers";"US";"web"
"47";"New York";66;"teenagers";"US";"web"
"48";"Hawaii";64;"teenagers";"US";"web"
"49";"Washington";62;"teenagers";"US";"web"
"50";"Oregon";52;"teenagers";"US";"web"
"51";"District of Columbia";51;"teenagers";"US";"web"
