"";"location";"hits";"keyword";"geo";"gprop"
"1";"Hawaii";100;"time";"US";"web"
"2";"Maine";91;"time";"US";"web"
"3";"Ohio";91;"time";"US";"web"
"4";"North Carolina";89;"time";"US";"web"
"5";"New York";89;"time";"US";"web"
"6";"Kentucky";85;"time";"US";"web"
"7";"Utah";85;"time";"US";"web"
"8";"California";83;"time";"US";"web"
"9";"Arizona";82;"time";"US";"web"
"10";"Wisconsin";82;"time";"US";"web"
"11";"Washington";81;"time";"US";"web"
"12";"Nevada";80;"time";"US";"web"
"13";"South Carolina";80;"time";"US";"web"
"14";"Texas";80;"time";"US";"web"
"15";"New Jersey";80;"time";"US";"web"
"16";"Idaho";80;"time";"US";"web"
"17";"Massachusetts";79;"time";"US";"web"
"18";"Indiana";78;"time";"US";"web"
"19";"Tennessee";78;"time";"US";"web"
"20";"Nebraska";78;"time";"US";"web"
"21";"District of Columbia";78;"time";"US";"web"
"22";"Kansas";76;"time";"US";"web"
"23";"Colorado";76;"time";"US";"web"
"24";"New Hampshire";76;"time";"US";"web"
"25";"Missouri";76;"time";"US";"web"
"26";"Illinois";75;"time";"US";"web"
"27";"Delaware";75;"time";"US";"web"
"28";"Virginia";75;"time";"US";"web"
"29";"Maryland";74;"time";"US";"web"
"30";"Vermont";74;"time";"US";"web"
"31";"Rhode Island";74;"time";"US";"web"
"32";"Michigan";73;"time";"US";"web"
"33";"Minnesota";73;"time";"US";"web"
"34";"Connecticut";72;"time";"US";"web"
"35";"New Mexico";72;"time";"US";"web"
"36";"Alabama";72;"time";"US";"web"
"37";"Mississippi";72;"time";"US";"web"
"38";"Louisiana";72;"time";"US";"web"
"39";"Pennsylvania";72;"time";"US";"web"
"40";"Georgia";71;"time";"US";"web"
"41";"Alaska";71;"time";"US";"web"
"42";"Florida";70;"time";"US";"web"
"43";"Arkansas";70;"time";"US";"web"
"44";"Oklahoma";70;"time";"US";"web"
"45";"West Virginia";70;"time";"US";"web"
"46";"North Dakota";69;"time";"US";"web"
"47";"Iowa";68;"time";"US";"web"
"48";"Montana";68;"time";"US";"web"
"49";"South Dakota";67;"time";"US";"web"
"50";"Wyoming";67;"time";"US";"web"
"51";"Oregon";53;"time";"US";"web"
