"";"location";"hits";"keyword";"geo";"gprop"
"1";"Utah";100;"touchy";"US";"web"
"2";"Idaho";93;"touchy";"US";"web"
"3";"Iowa";80;"touchy";"US";"web"
"4";"Arizona";79;"touchy";"US";"web"
"5";"Illinois";78;"touchy";"US";"web"
"6";"New Hampshire";78;"touchy";"US";"web"
"7";"Washington";77;"touchy";"US";"web"
"8";"District of Columbia";75;"touchy";"US";"web"
"9";"Missouri";75;"touchy";"US";"web"
"10";"California";75;"touchy";"US";"web"
"11";"Hawaii";73;"touchy";"US";"web"
"12";"Texas";73;"touchy";"US";"web"
"13";"Michigan";71;"touchy";"US";"web"
"14";"Minnesota";68;"touchy";"US";"web"
"15";"New Mexico";67;"touchy";"US";"web"
"16";"Pennsylvania";67;"touchy";"US";"web"
"17";"Georgia";66;"touchy";"US";"web"
"18";"New York";66;"touchy";"US";"web"
"19";"Colorado";65;"touchy";"US";"web"
"20";"Florida";65;"touchy";"US";"web"
"21";"Ohio";64;"touchy";"US";"web"
"22";"Nebraska";63;"touchy";"US";"web"
"23";"Indiana";62;"touchy";"US";"web"
"24";"Wisconsin";62;"touchy";"US";"web"
"25";"Massachusetts";62;"touchy";"US";"web"
"26";"Oklahoma";61;"touchy";"US";"web"
"27";"North Carolina";61;"touchy";"US";"web"
"28";"Nevada";61;"touchy";"US";"web"
"29";"Kansas";61;"touchy";"US";"web"
"30";"Alabama";60;"touchy";"US";"web"
"31";"Kentucky";59;"touchy";"US";"web"
"32";"Louisiana";59;"touchy";"US";"web"
"33";"West Virginia";59;"touchy";"US";"web"
"34";"Maryland";58;"touchy";"US";"web"
"35";"Connecticut";57;"touchy";"US";"web"
"36";"South Carolina";55;"touchy";"US";"web"
"37";"Arkansas";54;"touchy";"US";"web"
"38";"Tennessee";53;"touchy";"US";"web"
"39";"Oregon";53;"touchy";"US";"web"
"40";"New Jersey";51;"touchy";"US";"web"
"41";"Virginia";49;"touchy";"US";"web"
"42";"Maine";46;"touchy";"US";"web"
"43";"Mississippi";46;"touchy";"US";"web"
