"";"location";"hits";"keyword";"geo";"gprop"
"1";"Iowa";100;"triumph";"US";"web"
"2";"North Dakota";93;"triumph";"US";"web"
"3";"New Hampshire";90;"triumph";"US";"web"
"4";"Wyoming";87;"triumph";"US";"web"
"5";"Washington";87;"triumph";"US";"web"
"6";"Vermont";82;"triumph";"US";"web"
"7";"Missouri";77;"triumph";"US";"web"
"8";"Pennsylvania";75;"triumph";"US";"web"
"9";"Nevada";75;"triumph";"US";"web"
"10";"New Jersey";74;"triumph";"US";"web"
"11";"Connecticut";74;"triumph";"US";"web"
"12";"Colorado";74;"triumph";"US";"web"
"13";"Michigan";73;"triumph";"US";"web"
"14";"Texas";72;"triumph";"US";"web"
"15";"Nebraska";72;"triumph";"US";"web"
"16";"California";71;"triumph";"US";"web"
"17";"New Mexico";71;"triumph";"US";"web"
"18";"Oklahoma";70;"triumph";"US";"web"
"19";"Illinois";69;"triumph";"US";"web"
"20";"Montana";69;"triumph";"US";"web"
"21";"Arkansas";69;"triumph";"US";"web"
"22";"Wisconsin";69;"triumph";"US";"web"
"23";"Ohio";68;"triumph";"US";"web"
"24";"Utah";68;"triumph";"US";"web"
"25";"Alaska";67;"triumph";"US";"web"
"26";"Minnesota";67;"triumph";"US";"web"
"27";"Idaho";67;"triumph";"US";"web"
"28";"Tennessee";67;"triumph";"US";"web"
"29";"North Carolina";66;"triumph";"US";"web"
"30";"Hawaii";66;"triumph";"US";"web"
"31";"Rhode Island";66;"triumph";"US";"web"
"32";"Louisiana";66;"triumph";"US";"web"
"33";"Delaware";65;"triumph";"US";"web"
"34";"South Dakota";65;"triumph";"US";"web"
"35";"Kentucky";63;"triumph";"US";"web"
"36";"Maryland";63;"triumph";"US";"web"
"37";"Arizona";62;"triumph";"US";"web"
"38";"Massachusetts";61;"triumph";"US";"web"
"39";"Oregon";61;"triumph";"US";"web"
"40";"Alabama";61;"triumph";"US";"web"
"41";"Maine";61;"triumph";"US";"web"
"42";"New York";60;"triumph";"US";"web"
"43";"Florida";60;"triumph";"US";"web"
"44";"Kansas";59;"triumph";"US";"web"
"45";"Indiana";59;"triumph";"US";"web"
"46";"District of Columbia";59;"triumph";"US";"web"
"47";"Mississippi";55;"triumph";"US";"web"
"48";"Georgia";54;"triumph";"US";"web"
"49";"West Virginia";49;"triumph";"US";"web"
"50";"South Carolina";49;"triumph";"US";"web"
"51";"Virginia";41;"triumph";"US";"web"
