"";"location";"hits";"keyword";"geo";"gprop"
"1";"Arkansas";100;"uncertain";"US";"web"
"2";"Alaska";71;"uncertain";"US";"web"
"3";"District of Columbia";59;"uncertain";"US";"web"
"4";"Idaho";57;"uncertain";"US";"web"
"5";"New Mexico";57;"uncertain";"US";"web"
"6";"Texas";56;"uncertain";"US";"web"
"7";"Virginia";56;"uncertain";"US";"web"
"8";"Maine";55;"uncertain";"US";"web"
"9";"Kentucky";54;"uncertain";"US";"web"
"10";"Oregon";53;"uncertain";"US";"web"
"11";"Hawaii";53;"uncertain";"US";"web"
"12";"Vermont";53;"uncertain";"US";"web"
"13";"California";52;"uncertain";"US";"web"
"14";"Indiana";51;"uncertain";"US";"web"
"15";"New York";49;"uncertain";"US";"web"
"16";"North Carolina";49;"uncertain";"US";"web"
"17";"Nebraska";49;"uncertain";"US";"web"
"18";"Connecticut";48;"uncertain";"US";"web"
"19";"New Jersey";47;"uncertain";"US";"web"
"20";"Delaware";46;"uncertain";"US";"web"
"21";"Massachusetts";46;"uncertain";"US";"web"
"22";"Colorado";45;"uncertain";"US";"web"
"23";"Wisconsin";44;"uncertain";"US";"web"
"24";"Pennsylvania";43;"uncertain";"US";"web"
"25";"Maryland";43;"uncertain";"US";"web"
"26";"Minnesota";41;"uncertain";"US";"web"
"27";"New Hampshire";41;"uncertain";"US";"web"
"28";"Florida";40;"uncertain";"US";"web"
"29";"Iowa";38;"uncertain";"US";"web"
"30";"Ohio";38;"uncertain";"US";"web"
"31";"Michigan";37;"uncertain";"US";"web"
"32";"Missouri";37;"uncertain";"US";"web"
"33";"Louisiana";37;"uncertain";"US";"web"
"34";"Arizona";36;"uncertain";"US";"web"
"35";"Washington";34;"uncertain";"US";"web"
"36";"Illinois";33;"uncertain";"US";"web"
"37";"West Virginia";32;"uncertain";"US";"web"
"38";"Tennessee";32;"uncertain";"US";"web"
"39";"Montana";31;"uncertain";"US";"web"
"40";"Alabama";29;"uncertain";"US";"web"
"41";"South Carolina";27;"uncertain";"US";"web"
"42";"Utah";25;"uncertain";"US";"web"
"43";"Nevada";24;"uncertain";"US";"web"
"44";"Kansas";22;"uncertain";"US";"web"
"45";"Oklahoma";22;"uncertain";"US";"web"
"46";"Georgia";22;"uncertain";"US";"web"
"47";"Rhode Island";10;"uncertain";"US";"web"
"48";"Mississippi";7;"uncertain";"US";"web"
