"";"location";"hits";"keyword";"geo";"gprop"
"1";"Texas";100;"uncertain";"US";"web"
"2";"Arkansas";94;"uncertain";"US";"web"
"3";"District of Columbia";93;"uncertain";"US";"web"
"4";"Vermont";92;"uncertain";"US";"web"
"5";"Rhode Island";90;"uncertain";"US";"web"
"6";"South Dakota";88;"uncertain";"US";"web"
"7";"Maryland";88;"uncertain";"US";"web"
"8";"Connecticut";88;"uncertain";"US";"web"
"9";"New Jersey";86;"uncertain";"US";"web"
"10";"Massachusetts";85;"uncertain";"US";"web"
"11";"New York";84;"uncertain";"US";"web"
"12";"Louisiana";83;"uncertain";"US";"web"
"13";"Minnesota";81;"uncertain";"US";"web"
"14";"North Carolina";81;"uncertain";"US";"web"
"15";"Tennessee";76;"uncertain";"US";"web"
"16";"California";76;"uncertain";"US";"web"
"17";"West Virginia";75;"uncertain";"US";"web"
"18";"Delaware";75;"uncertain";"US";"web"
"19";"Virginia";75;"uncertain";"US";"web"
"20";"Alabama";74;"uncertain";"US";"web"
"21";"Ohio";74;"uncertain";"US";"web"
"22";"Utah";73;"uncertain";"US";"web"
"23";"Hawaii";72;"uncertain";"US";"web"
"24";"Indiana";72;"uncertain";"US";"web"
"25";"Florida";72;"uncertain";"US";"web"
"26";"Illinois";71;"uncertain";"US";"web"
"27";"Kentucky";71;"uncertain";"US";"web"
"28";"Pennsylvania";71;"uncertain";"US";"web"
"29";"Alaska";70;"uncertain";"US";"web"
"30";"Missouri";69;"uncertain";"US";"web"
"31";"Idaho";69;"uncertain";"US";"web"
"32";"Oklahoma";68;"uncertain";"US";"web"
"33";"Michigan";68;"uncertain";"US";"web"
"34";"Iowa";67;"uncertain";"US";"web"
"35";"Nebraska";67;"uncertain";"US";"web"
"36";"Mississippi";67;"uncertain";"US";"web"
"37";"Oregon";66;"uncertain";"US";"web"
"38";"New Mexico";66;"uncertain";"US";"web"
"39";"Arizona";66;"uncertain";"US";"web"
"40";"South Carolina";64;"uncertain";"US";"web"
"41";"Wisconsin";64;"uncertain";"US";"web"
"42";"Georgia";63;"uncertain";"US";"web"
"43";"Colorado";63;"uncertain";"US";"web"
"44";"Washington";61;"uncertain";"US";"web"
"45";"New Hampshire";60;"uncertain";"US";"web"
"46";"Kansas";60;"uncertain";"US";"web"
"47";"Maine";59;"uncertain";"US";"web"
"48";"Nevada";52;"uncertain";"US";"web"
"49";"Montana";49;"uncertain";"US";"web"
