"";"location";"hits";"keyword";"geo";"gprop"
"1";"Utah";100;"unhinged";"US";"web"
"2";"Oregon";54;"unhinged";"US";"web"
"3";"Oklahoma";50;"unhinged";"US";"web"
"4";"Wisconsin";48;"unhinged";"US";"web"
"5";"Rhode Island";47;"unhinged";"US";"web"
"6";"Indiana";47;"unhinged";"US";"web"
"7";"Kansas";45;"unhinged";"US";"web"
"8";"Maine";43;"unhinged";"US";"web"
"9";"Alabama";43;"unhinged";"US";"web"
"10";"West Virginia";42;"unhinged";"US";"web"
"11";"Arizona";41;"unhinged";"US";"web"
"12";"Massachusetts";41;"unhinged";"US";"web"
"13";"Delaware";40;"unhinged";"US";"web"
"14";"Washington";39;"unhinged";"US";"web"
"15";"Minnesota";39;"unhinged";"US";"web"
"16";"California";38;"unhinged";"US";"web"
"17";"New Jersey";38;"unhinged";"US";"web"
"18";"Arkansas";38;"unhinged";"US";"web"
"19";"Illinois";37;"unhinged";"US";"web"
"20";"Ohio";37;"unhinged";"US";"web"
"21";"Pennsylvania";37;"unhinged";"US";"web"
"22";"Colorado";36;"unhinged";"US";"web"
"23";"Missouri";36;"unhinged";"US";"web"
"24";"District of Columbia";36;"unhinged";"US";"web"
"25";"Kentucky";35;"unhinged";"US";"web"
"26";"New York";35;"unhinged";"US";"web"
"27";"Vermont";35;"unhinged";"US";"web"
"28";"Iowa";34;"unhinged";"US";"web"
"29";"Virginia";34;"unhinged";"US";"web"
"30";"New Mexico";33;"unhinged";"US";"web"
"31";"New Hampshire";32;"unhinged";"US";"web"
"32";"Tennessee";31;"unhinged";"US";"web"
"33";"Texas";29;"unhinged";"US";"web"
"34";"Maryland";28;"unhinged";"US";"web"
"35";"North Carolina";28;"unhinged";"US";"web"
"36";"Michigan";27;"unhinged";"US";"web"
"37";"Mississippi";27;"unhinged";"US";"web"
"38";"South Carolina";27;"unhinged";"US";"web"
"39";"Georgia";25;"unhinged";"US";"web"
"40";"Florida";24;"unhinged";"US";"web"
"41";"Connecticut";23;"unhinged";"US";"web"
"42";"Louisiana";22;"unhinged";"US";"web"
"43";"Hawaii";20;"unhinged";"US";"web"
"44";"Nevada";13;"unhinged";"US";"web"
"45";"Idaho";13;"unhinged";"US";"web"
"46";"Nebraska";12;"unhinged";"US";"web"
