"";"location";"hits";"keyword";"geo";"gprop"
"1";"West Virginia";100;"weak";"US";"web"
"2";"Mississippi";98;"weak";"US";"web"
"3";"Alabama";95;"weak";"US";"web"
"4";"Arkansas";94;"weak";"US";"web"
"5";"Rhode Island";92;"weak";"US";"web"
"6";"Delaware";92;"weak";"US";"web"
"7";"Hawaii";91;"weak";"US";"web"
"8";"Kentucky";90;"weak";"US";"web"
"9";"Maryland";90;"weak";"US";"web"
"10";"Louisiana";90;"weak";"US";"web"
"11";"Pennsylvania";90;"weak";"US";"web"
"12";"Indiana";90;"weak";"US";"web"
"13";"Oklahoma";89;"weak";"US";"web"
"14";"South Carolina";88;"weak";"US";"web"
"15";"North Carolina";88;"weak";"US";"web"
"16";"Ohio";87;"weak";"US";"web"
"17";"Michigan";87;"weak";"US";"web"
"18";"California";87;"weak";"US";"web"
"19";"Tennessee";86;"weak";"US";"web"
"20";"Alaska";86;"weak";"US";"web"
"21";"Georgia";86;"weak";"US";"web"
"22";"New Mexico";85;"weak";"US";"web"
"23";"New Jersey";85;"weak";"US";"web"
"24";"Virginia";84;"weak";"US";"web"
"25";"Texas";84;"weak";"US";"web"
"26";"Connecticut";84;"weak";"US";"web"
"27";"Iowa";82;"weak";"US";"web"
"28";"Idaho";82;"weak";"US";"web"
"29";"North Dakota";82;"weak";"US";"web"
"30";"Missouri";82;"weak";"US";"web"
"31";"Arizona";82;"weak";"US";"web"
"32";"South Dakota";81;"weak";"US";"web"
"33";"Utah";81;"weak";"US";"web"
"34";"Massachusetts";81;"weak";"US";"web"
"35";"Kansas";81;"weak";"US";"web"
"36";"Nevada";81;"weak";"US";"web"
"37";"New Hampshire";81;"weak";"US";"web"
"38";"Wisconsin";81;"weak";"US";"web"
"39";"Nebraska";80;"weak";"US";"web"
"40";"Illinois";80;"weak";"US";"web"
"41";"Montana";80;"weak";"US";"web"
"42";"New York";80;"weak";"US";"web"
"43";"Washington";80;"weak";"US";"web"
"44";"Florida";79;"weak";"US";"web"
"45";"Maine";78;"weak";"US";"web"
"46";"Minnesota";76;"weak";"US";"web"
"47";"Vermont";75;"weak";"US";"web"
"48";"Colorado";75;"weak";"US";"web"
"49";"Wyoming";73;"weak";"US";"web"
"50";"District of Columbia";71;"weak";"US";"web"
"51";"Oregon";64;"weak";"US";"web"
