"";"location";"hits";"keyword";"geo";"gprop"
"1";"Alaska";100;"wretched";"US";"web"
"2";"Idaho";97;"wretched";"US";"web"
"3";"Wyoming";90;"wretched";"US";"web"
"4";"Maine";84;"wretched";"US";"web"
"5";"South Carolina";82;"wretched";"US";"web"
"6";"Mississippi";79;"wretched";"US";"web"
"7";"Minnesota";78;"wretched";"US";"web"
"8";"Arkansas";78;"wretched";"US";"web"
"9";"Alabama";76;"wretched";"US";"web"
"10";"New Mexico";76;"wretched";"US";"web"
"11";"Oregon";75;"wretched";"US";"web"
"12";"Indiana";74;"wretched";"US";"web"
"13";"Oklahoma";73;"wretched";"US";"web"
"14";"Arizona";72;"wretched";"US";"web"
"15";"Tennessee";72;"wretched";"US";"web"
"16";"Utah";71;"wretched";"US";"web"
"17";"Illinois";71;"wretched";"US";"web"
"18";"Pennsylvania";70;"wretched";"US";"web"
"19";"Connecticut";70;"wretched";"US";"web"
"20";"North Carolina";70;"wretched";"US";"web"
"21";"Louisiana";69;"wretched";"US";"web"
"22";"Ohio";68;"wretched";"US";"web"
"23";"New Hampshire";68;"wretched";"US";"web"
"24";"Kentucky";67;"wretched";"US";"web"
"25";"Wisconsin";67;"wretched";"US";"web"
"26";"District of Columbia";67;"wretched";"US";"web"
"27";"Washington";67;"wretched";"US";"web"
"28";"Michigan";66;"wretched";"US";"web"
"29";"Rhode Island";65;"wretched";"US";"web"
"30";"Vermont";65;"wretched";"US";"web"
"31";"Massachusetts";65;"wretched";"US";"web"
"32";"North Dakota";64;"wretched";"US";"web"
"33";"New York";64;"wretched";"US";"web"
"34";"Delaware";64;"wretched";"US";"web"
"35";"Kansas";64;"wretched";"US";"web"
"36";"California";64;"wretched";"US";"web"
"37";"West Virginia";62;"wretched";"US";"web"
"38";"Missouri";62;"wretched";"US";"web"
"39";"Virginia";61;"wretched";"US";"web"
"40";"Nevada";61;"wretched";"US";"web"
"41";"Texas";60;"wretched";"US";"web"
"42";"New Jersey";60;"wretched";"US";"web"
"43";"Maryland";59;"wretched";"US";"web"
"44";"Hawaii";59;"wretched";"US";"web"
"45";"Georgia";58;"wretched";"US";"web"
"46";"Iowa";57;"wretched";"US";"web"
"47";"Colorado";57;"wretched";"US";"web"
"48";"South Dakota";55;"wretched";"US";"web"
"49";"Florida";53;"wretched";"US";"web"
"50";"Nebraska";53;"wretched";"US";"web"
"51";"Montana";43;"wretched";"US";"web"
